date,ticker,cr,p2,price,fwd_per,gap,rev30,rev7,minseg,dvol_M,eligible,gap_pass,vol_pass,blocked,would_buy
2026-06-22,TSEM,38,21,316.85,70.8,2.08,21.8,16.9,4.18,578,0,0,0,gap|vol,0
2026-06-23,TSEM,26,22,282.65,63.0,2.09,21.8,16.9,4.18,591,0,0,0,gap|vol,0
2026-06-24,TSEM,16,22,275.32,61.3,2.09,21.8,16.9,4.18,597,0,0,0,gap|vol,0
2026-06-25,TSEM,11,16,269.88,60.0,2.09,21.8,16.9,4.18,588,0,0,0,gap|vol,0
2026-06-26,TSEM,11,12,249.91,55.5,2.09,21.8,16.9,4.18,584,0,0,0,gap|vol,0
2026-06-29,TSEM,2,4,255.59,56.5,2.1,21.9,17.0,4.18,546,1,0,0,gap|vol,0
2026-06-30,TSEM,1,2,260.64,57.5,2.11,21.9,17.0,4.17,528,1,0,0,gap|vol,0
2026-07-01,TSEM,1,1,245.46,54.1,2.11,21.9,17.0,4.17,518,1,0,0,gap|vol,0
2026-07-02,TSEM,,,219.05,48.2,2.11,21.9,17.0,4.17,0,0,0,0,gap|vol,0
2026-07-06,TSEM,,,218.95,47.9,2.13,21.9,17.1,4.17,497,0,0,0,gap|vol,0
2026-07-07,TSEM,,,211.93,46.3,2.13,22.0,17.1,4.17,490,0,0,0,gap|vol,0
2026-07-08,TSEM,,,216.7,47.3,2.13,22.0,17.1,4.17,489,0,0,0,gap|vol,0
2026-07-09,TSEM,,,226.58,49.4,2.13,22.0,17.1,4.17,487,0,0,0,gap|vol,0
2026-07-10,TSEM,,,222.75,48.5,2.14,22.0,17.1,4.17,475,0,0,0,gap|vol,0
2026-07-13,TSEM,,,229.68,49.8,2.15,22.0,17.1,4.17,468,0,0,0,gap|vol,0
2026-07-14,TSEM,2,27,255.49,55.3,2.15,22.0,17.1,4.17,473,1,0,0,gap|vol,0
2026-07-15,TSEM,2,6,251.0,54.2,2.15,22.0,17.2,4.16,484,1,0,0,gap|vol,0
2026-07-16,TSEM,4,1,237.92,50.7,2.18,5.7,2.2,2.21,483,1,0,0,gap|vol,0
2026-07-17,TSEM,,,234.1,49.8,2.18,5.7,2.2,2.21,475,0,0,0,gap|vol,0
2026-07-20,TSEM,,,227.21,48.2,2.19,5.7,2.2,2.22,484,0,0,0,gap|vol,0
