start_date,total_return,max_dd,sharpe,sortino,calmar,n_trades,win_rate,profit_factor,breakout_holds,n_open,best_trade,worst_trade
2026-02-17,34.81,-9.95,4.66,5.15,62.8,6,83.3,25.36,0,3,44.22356978603334,-3.297137148374253
2026-02-18,54.12,-13.98,4.92,5.13,128.99,9,77.8,11.95,1,3,41.867086091893896,-6.445552233904123
2026-02-19,47.89,-13.98,4.57,4.79,103.56,8,75.0,7.28,1,3,37.14115228088533,-6.445552233904123
2026-02-20,44.61,-13.98,4.39,4.67,94.69,8,75.0,6.66,1,3,31.047595723510362,-6.445552233904123
2026-02-23,42.11,-13.98,4.26,4.59,89.63,8,75.0,8.07,1,3,27.799371635231946,-6.445552233904123
2026-02-24,27.7,-9.95,4.21,4.54,55.0,5,80.0,16.13,0,3,33.39754329966835,-3.5907606873968647
2026-02-25,24.75,-9.95,4.28,5.13,47.31,4,75.0,24.03,0,3,34.69275007977096,-2.091640365963731
2026-02-26,40.2,-13.98,4.18,4.18,104.42,7,100.0,inf,1,3,30.659608472454597,0.5285465029213425
2026-02-27,41.22,-13.98,4.35,4.2,122.75,7,100.0,inf,1,3,34.06101094955512,0.5285465029213425
2026-03-02,41.5,-13.98,4.6,4.68,138.91,6,83.3,23.53,1,3,37.5864179133466,-2.7152032386760854
2026-03-03,51.88,-13.98,5.7,5.82,300.52,6,100.0,inf,1,3,50.646444171142846,2.4803543829647348
2026-03-04,24.5,-9.95,4.49,5.11,67.69,3,100.0,inf,0,3,42.18442610131697,2.4803543829647348
2026-03-05,38.69,-9.95,6.66,7.18,229.33,4,75.0,82.05,1,3,50.59848637481578,-0.8700727903445458
2026-03-06,57.41,-13.98,7.07,7.09,685.91,5,100.0,inf,1,3,61.525039714575904,2.4803543829647348
2026-03-09,42.04,-13.98,6.17,5.72,277.84,5,100.0,inf,1,3,44.67923288925529,2.4803543829647348
2026-03-10,36.28,-13.98,5.64,5.29,205.45,4,100.0,inf,1,3,37.62865765657905,2.4803543829647348
2026-03-11,32.51,-13.98,5.29,5.06,172.74,4,100.0,inf,1,3,29.955911241399573,2.4803543829647348
2026-03-12,36.82,-13.98,6.15,5.64,300.77,3,100.0,inf,1,3,37.644227634834955,2.4803543829647348
2026-03-13,32.57,-13.98,5.72,5.35,242.46,3,100.0,inf,1,3,28.740066173541617,2.4803543829647348
2026-03-16,25.56,-13.98,4.91,4.59,139.21,3,100.0,inf,1,3,21.053680715777574,2.4803543829647348
2026-03-17,22.62,-13.98,4.58,3.99,117.15,2,100.0,inf,1,3,18.273468728772514,1.428301643187578
2026-03-18,25.38,-14.03,5.39,5.21,196.66,3,100.0,inf,1,3,34.065222326219995,2.6587862034610446
2026-03-19,23.63,-14.03,5.23,5.21,194.27,3,100.0,inf,1,3,34.065222326219995,0.8543425732707696
2026-03-20,9.18,-16.33,2.56,1.82,20.66,1,100.0,inf,1,3,5.700384434885756,5.700384434885756
2026-03-23,14.04,-18.16,3.35,2.3,53.12,1,100.0,inf,1,3,21.25012902277369,21.25012902277369
2026-03-24,15.08,-16.68,3.79,2.83,85.33,2,50.0,11.32,1,3,21.251856738021477,-1.876816830722242
2026-03-25,15.21,-16.41,3.92,2.37,113.12,2,50.0,2.52,1,3,25.65574572003856,-10.180066304933215
2026-03-26,28.51,-7.93,8.59,8.59,3934.03,2,100.0,inf,1,3,41.215584937044746,5.551788508018271
2026-03-27,27.16,-7.93,8.69,8.69,5357.7,2,100.0,inf,1,3,38.312520645934164,4.925477243944133
2026-03-30,37.83,0,18.5,18.5,inf,1,100.0,inf,1,3,48.780789437772924,48.780789437772924
2026-03-31,26.72,0,17.56,17.56,inf,1,100.0,inf,1,3,34.065222326219995,34.065222326219995
2026-04-01,9.83,-0.27,11.81,11.81,10363.14,1,100.0,inf,1,3,0.38991027167335074,0.38991027167335074
2026-04-02,10.14,0,14.09,14.09,inf,0,0,0,1,3,0,0
